tick,mt,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,koppa_sample_num,koppa_sample_den,prev_upsilon_num,prev_upsilon_den,prev_beta_num,prev_beta_den,koppa_stack0_num,koppa_stack0_den,koppa_stack1_num,koppa_stack1_den,koppa_stack2_num,koppa_stack2_den,koppa_stack3_num,koppa_stack3_den,koppa_stack_size
4,2,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,3,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,4,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,5,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,6,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,7,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,21524794753747867031158142317989373424197856108370868197573074183176667733712251670164,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,8,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,9,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,10,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,0,1,0,1,0,1,0,1,0
4,11,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,0,1,0,1,0,1,0,1,0
